groupid,Group Name,Product Type,Product Color,Product Condition,Component Type,Included Products,groupsize,idingroup,strippedname,name,sku,platform,ASIN,matching_likelihood,matching_method,ParentProduct,SKU_Role,source_asin,source_sku,source_title,merge_source,merge_match_type
0,Rock Band 3,Bundle,,,,"Rock Band 3 Video Game, Wired X-Plorer Guitar",1,0,Rock Band 3 with Wired X-Plorer Guitar video game,Rock Band 3 with Wired X-Plorer Guitar Bundle [video game],JD-K49H-5DU4,Amazon,1403779562,100.0,stripped_name,Video Game,K,1403779562,JD-K49H-5DU4,Rock Band 3 with Wired X-Plorer Guitar Bundle,amazon_only,
1,Bose VCS-10 Center Channel Speaker,Product,BK,U,,,9,0,Factory-renewed Bose VCS-10 Center Channel Speaker,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,ZB-AFHB-Y58D,Amazon,B00005T3NH,100.0,stripped_name,Center Channel Speaker,P,B00005T3NH,ZB-AFHB-Y58D,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,amazon_only,
1,Bose VCS-10 Center Channel Speaker,Product,BK,U,,,9,1,Factory-renewed Bose VCS-10 Center Channel Speaker,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,0U-EA2V-4W13,Amazon,B00005T3NH,100.0,stripped_name,Speaker,P,B00005T3NH,0U-EA2V-4W13,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,amazon_only,
1,Bose VCS-10 Center Channel Speaker,Product,BK,U,,,9,2,Factory-renewed Bose VCS-10 Center Channel Speaker,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,B2-A9CG-UIK1,Amazon,B00005T3NH,100.0,stripped_name,Speaker,P,B00005T3NH,B2-A9CG-UIK1,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,amazon_only,
1,Bose VCS-10 Center Channel Speaker,Product,BK,U,,,9,3,Factory-renewed Bose VCS-10 Center Channel Speaker,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,ZS-94YE-3U3C,Amazon,B00005T3NH,100.0,stripped_name,Speaker,P,B00005T3NH,ZS-94YE-3U3C,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,amazon_only,
1,Bose VCS-10 Center Channel Speaker,Product,BK,,,,9,4,Bose VCS-10 Center Channel Speaker,"Bose VCS-10 Center Channel Speaker, Black",154572446665,MEKONG_eBay,,1.03,threshold,Speaker,P,B00005T3NH,154572446665,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,amazon_only,
1,Bose VCS-10 Center Channel Speaker,Product,BK,,,,9,5,Bose VCS-10 Center Channel Speaker,"Bose VCS-10 Center Channel Speaker, Black",01279-B,Ecwid,,1.03,threshold,Speaker,P,B00005T3NH,01279-B,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,amazon_only,
1,Bose VCS-10 Center Channel Speaker,Product,BK,U,,,9,6,Bose VCS-10 Center Channel Speaker B Grade,"Bose VCS-10 Center Channel Speaker - Black - ""B"" Grade",157213252819,MEKONG_eBay,,0.94,threshold,Speaker,P,B00005T3NH,157213252819,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,amazon_only,
1,Bose VCS-10 Center Channel Speaker,Bundle,BK,U,,"Bose VCS-10 Center Channel Speaker, Bose VCS-10 Center Channel Speaker",9,7,Set 2 Bose VCS-10 Center Channel Speaker B Grade,"Set 2 Bose VCS-10 Center Channel Speaker (Black) Tested - ""B"" Grade",157222516861,MEKONG_eBay,,0.82,threshold,Speaker,P,B00005T3NH,157222516861,Factory-renewed Bose VCS-10 Center Channel Speaker - Black,amazon_only,
1,Bose VCS-10 Center Channel Speaker,Product,BK,,,,9,8,Bose VCS-10 Center Channel Speaker bass-reflex ported design,Bose VCS-10 Center Channel Speaker  bass-reflex (ported) design (Black),364772891228,USAV_eBay,,100.0,stripped_name,Speaker,,,364772891228,Bose VCS-10 Center Channel Speaker  bass-reflex (ported) design (Black),ebay_only,
2,Bose Zone-2 Kit Room Extender,Parts,,,Zone-2 Room Extender,,1,0,BOSE R Zone-2 Kit Room Extender,BOSE (R) Zone-2 Kit Room Extender,VL-M7TN-BV1J,Amazon,B000067O94,100.0,stripped_name,System,A,B000067O94,VL-M7TN-BV1J,BOSE (R) Zone-2 Kit Room Extender,amazon_only,
3,Bose 201 Series IV,Product,,,,,5,0,Bose 201 Series IV,Bose 201 Series IV,R7-WR4U-9N6C,Amazon,B00006HO4Y,100.0,stripped_name,Speaker,P,B00006HO4Y,R7-WR4U-9N6C,Bose 201 Series IV,amazon_only,
3,Bose 201 Series IV,Product,,,,,5,1,Bose 201 Series IV,Bose 201 Series IV,SN-VPFV-OMQ3,Amazon,B00006HO4Y,100.0,stripped_name,Speaker,P,B00006HO4Y,SN-VPFV-OMQ3,Bose 201 Series IV,amazon_only,
3,Bose 201 Series IV,Product,,,,,5,2,Bose 201 Series IV,Bose 201 Series IV,257184195892,DRAGON_eBay,,100.0,stripped_name,Speaker,P,B00006HO4Y,257184195892,Bose 201 Series IV,amazon_only,
3,Bose 201 Series IV,Product,,,,,5,3,Bose 201 Series IV speaker system,Bose 201 Series IV speaker system,01246,Ecwid,,1.11,threshold,Speaker,P,B00006HO4Y,01246,Bose 201 Series IV,amazon_only,
